LastB,LastF,Current
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4, 0.3, 0.7]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]"
"[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.4, 0.3, 0.7]","[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]"
"[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]","[0.4, 0.3, 0.7]","[0.40318436556822457, 0.3016065180070492, 0.6765390950107277]"
"[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]","[0.40318436556822457, 0.3016065180070492, 0.6765390950107277]","[0.40398045696028073, 0.30200814750881144, 0.6706738687634097]"
"[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]","[0.40398045696028073, 0.30200814750881144, 0.6706738687634097]","[0.4041794798082948, 0.30210855488425203, 0.6692075622015803]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4, 0.3, 0.7]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]"
"[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.4, 0.3, 0.7]","[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]"
"[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]","[0.4, 0.3, 0.7]","[0.40318436556822457, 0.3016065180070492, 0.6765390950107277]"
"[0.40318436556822457, 0.3016065180070492, 0.6765390950107277]","[0.4, 0.3, 0.7]","[0.4023882741761684, 0.30120488850528687, 0.6824043212580457]"
"[0.4023882741761684, 0.30120488850528687, 0.6824043212580457]","[0.4, 0.3, 0.7]","[0.40179120563212634, 0.30090366637896515, 0.6868032409435343]"
"[0.40179120563212634, 0.30090366637896515, 0.6868032409435343]","[0.4, 0.3, 0.7]","[0.40134340422409476, 0.30067774978422385, 0.6901024307076506]"
"[0.40134340422409476, 0.30067774978422385, 0.6901024307076506]","[0.4, 0.3, 0.7]","[0.401007553168071, 0.3005083123381679, 0.6925768230307381]"
"[0.401007553168071, 0.3005083123381679, 0.6925768230307381]","[0.4, 0.3, 0.7]","[0.4007556648760533, 0.3003812342536259, 0.6944326172730535]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4, 0.3, 0.7]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]"
"[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.4, 0.3, 0.7]","[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]"
"[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]","[0.4, 0.3, 0.7]","[0.40318436556822457, 0.3016065180070492, 0.6765390950107277]"
"[0.40318436556822457, 0.3016065180070492, 0.6765390950107277]","[0.4, 0.3, 0.7]","[0.4023882741761684, 0.30120488850528687, 0.6824043212580457]"
"[0.40318436556822457, 0.3016065180070492, 0.6765390950107277]","[0.4023882741761684, 0.30120488850528687, 0.6824043212580457]","[0.4029853427202105, 0.3015061106316086, 0.6780054015725572]"
"[0.40318436556822457, 0.3016065180070492, 0.6765390950107277]","[0.4029853427202105, 0.3015061106316086, 0.6780054015725572]","[0.40313460985622107, 0.301581416163189, 0.6769056716511851]"
"[0.40318436556822457, 0.3016065180070492, 0.6765390950107277]","[0.40313460985622107, 0.301581416163189, 0.6769056716511851]","[0.4031719266402237, 0.30160024254608414, 0.676630739170842]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4, 0.3, 0.7]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]"
"[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.4, 0.3, 0.7]","[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]"
"[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]","[0.4053072759470411, 0.3026775300117486, 0.6608984916845463]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4, 0.3, 0.7]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.40707636792938817, 0.30357004001566473, 0.647864655579395]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.40707636792938817, 0.30357004001566473, 0.647864655579395]","[0.4074301863258576, 0.30374854201644796, 0.6452578883583647]"
